comment,rate_class
三少還是那個三少，專注小學啟蒙教育十三年！,negative
虔誠基督徒主角，在我眼裡和虔誠的綠教徒是一樣的。一星送你上天,negative
能不能不要販賣基督教私貨？還與世無爭的信仰，十字軍就這麼被你一筆帶過了？就算是新教，當年新教革命的時候也不知道殺了多少人。路德宗都是如此了，更別提更加激進的加爾文宗了。,negative
之前將那個試圖在元素高塔放火的傢伙放走沒有殺掉已經是非常不爽了。後來那個帶兵攻打元素高塔，試圖搶奪主角女人的傢伙又沒有殺。毒草棄書。,negative
你可以罵任何人傻逼，唯獨不能罵三少傻逼。三少的書，避開所有毒點，返璞歸真，大道至簡，從來不耍多餘套路，爽點毫不含糊，我小白看得就是爽，就是肯花錢。再說了大家都是看網路小說，你他娘推薦的大神精品世界名著套路讓我頭疼，情節讓我憋屈。看完了不是一樣的垃圾玩意兒嗎?反正都是混時間，憑啥罵我看三少?！！傻逼你有三少錢多嗎，快去搬磚╰_╯<br>網文之王。中華文豪。海外輸出。文化標籤。五星奉上,negative
4個輪回者大大咧咧的在酒吧討論任務？這種主神空間是怎麼活下來的，拜拜了您。,negative
幾個毒點。一，互聯網公司不是科網行業的全部，微軟就不是互聯網公司，但微軟對世界的影響之廣大之深遠，迄今沒有一家互聯網公司可以媲美，作者對新興科技產業的推崇目前來看僅限於互聯網，太狹隘。二，程式師和電腦科學家不可同日而語，真正改變世界的是電腦科學家，不是程式師，我很不解男主角“程式師”的傲氣。三，理工專業並不比商科社會科學專業高級，作者金融狗、圍著金融狗轉的律師云云，有“狗眼看人低”的嫌疑，或許跟他心目中“金融狗”瞧不起“程式猿”的嘴臉不謀而合。,negative
對一個想殺你的女人這麼寬宏大量，就因為她有才華有理想？錯，純粹是想上她，為了幾十億的身價，什麼女人沒有，為了下半身也是拼了老命。主角是被荷爾蒙控制了腦子，那兩個女朋友是被強行降智商了嗎？這種女人都敢放任她繼續和主角有勾搭的機會？,negative
主角表妹也是個智商不滿七十的貨，居然給有未婚妻的表哥和綠茶心機婊拉纖，這是成年人幹的出的事麼？還有那個費羅麗明知道程教授有潛規則的風評，晚上被要求去程教授家就隱隱有預感，費羅麗居然還一個人晚上乖乖送上門，這種女人沒被強姦也是日了哈士奇。,negative
這本書這麼猛吹李彥宏是不是舔得很爽？可惜啊，李彥宏為了錢不只做了免費殺毒，百度全家桶都揚名國外了，還有買賣貼吧，企業百科收費修改，競價排名，假藥廣告喪盡天良。這樣一個人你說他成功有錢有眼光都可以，可是你書裡面吹得太過被現實打臉了，劇毒,negative
