@relation cluster-20161223-notitle_clustered

@attribute Instance_number numeric
@attribute bibliography_id numeric
@attribute date {2006-05-10,2005-08-03,2008-03-14,2006-02-20,2008-03-19,2016-02-05,2006-08-12,2008-05-08,2009-12-18,2002-04-11,2005-07-27,2005-07-18,2006-11-24,2015-06-28,2001-03-01,2006-04-05,2006-03-31,2012-03-08,2013-09-16,2005-04-14,2015-07-04,2010-10-20,2016-06-16,2009-09-28,2015-06-09,2004-05-11,2010-10-21,2004-04-01,2006-10-12,2004-05-12,2016-06-08,2014-03-01,2005-11-09,2008-12-03,2008-04-10,2006-03-10,2002-03-11,2009-03-10,2002-07-26,2002-06-23,2010-12-09,2013-04-23,2016-03-19,2006-06-20,2016-03-15,2004-03-02,2005-05-25,2007-12-01,2008-04-23,2015-05-28,2005-02-18,2008-07-15,2009-02-10,2012-07-29,2010-06-04,2014-09-18,2005-01-12,2002-08-20,2006-05-19,2006-03-15,2012-06-03,2012-01-29,2004-03-20,2005-01-28,2011-07-13,2001-05-05,2012-12-26,2002-03-20,2008-01-19,2003-04-05,2010-09-27,2005-04-18,2016-04-15,2014-07-16,2001-03-30,2006-05-11,2002-12-19,2014-08-26,2005-09-02,2010-08-25,2003-03-18,2009-12-04,2012-05-27,2002-03-07,2015-09-19,2009-10-09,2006-11-23,2015-01-07,2009-05-16,2004-06-04,2003-06-28,2005-02-25,2007-12-14,2012-05-25,2016-03-13,2005-12-09,2011-04-11,2016-06-15,2003-04-13,2003-01-21,2014-04-18,2012-05-26,2010-03-13,2005-03-23,2013-09-25,2006-11-25,2003-04-16,2006-03-12,2007-09-18,2010-07-03,2005-07-13,2007-06-21,2002-04-17,2000-06-13,2003-12-12,2004-03-31,2012-05-28,2016-03-21,2012-03-02,2015-10-23,2015-09-17,2002-03-08,2005-01-19,2006-12-10,2005-04-13,2012-03-09,2003-05-12,2014-12-25,2005-02-21,2006-03-17,2002-04-07,2002-04-03,2011-07-15,2011-05-03,2012-06-13,2006-03-27,2011-12-31,2011-03-03,2015-09-20,2014-12-24,2005-03-04,2008-06-04,2003-07-09,2004-03-15,2004-03-24,2009-11-04,2006-03-11,2006-02-08,2014-07-15,2014-05-27,2004-04-16,2008-04-11,2012-03-15,2004-05-20,2006-01-18,2012-06-12,2010-03-15,2006-09-07,2003-04-02,2006-02-15,2005-06-20,2011-08-26,2011-04-21,2005-01-31,2006-06-10,2006-06-26,2014-06-04,2016-03-22,2013-02-20,2008-04-22,2002-05-09,2008-04-30,2012-11-02,2005-11-25,2005-04-25,2008-05-24,2009-04-15,2004-05-22,2009-10-24,2012-12-15,2000-11-10,2007-03-08,2007-04-08,2007-06-12,2012-02-29,2004-05-16,2005-07-08,2000-11-21,2003-03-27,2012-12-24,2012-09-20,2008-03-29,2005-03-07,2008-03-07,2002-03-09,2008-03-28,2013-10-27,2005-02-08,2011-07-14,2011-12-14,2002-02-11,2012-03-13,2005-02-02,2001-11-08,2013-05-15,2015-06-10,2002-03-19,2010-07-30,2011-09-02,2011-07-29,2005-02-23,2011-04-12,2009-12-07,2007-04-11,2012-12-30,2015-05-14,2008-11-05,2005-06-08,2006-05-28,2008-03-13,2015-09-18,2015-05-15,2007-11-08,2006-04-07,2007-05-12,2011-09-23,2005-04-08,2011-05-22,2005-04-15,2004-03-29,2012-01-26,2004-06-06,2008-07-10,2006-04-24,2001-04-19,2002-01-21,2006-02-25,2014-05-07,2008-09-10,2002-01-25,2001-03-16,2006-05-08,2009-05-13,2006-11-18,2016-08-06,2008-04-12,2000-08-04,2004-05-19,2009-02-13,2005-03-21,2006-04-10,2006-01-09,2014-12-31,2016-03-14,2008-05-29,2006-09-18,2005-06-27,2013-06-20,2012-12-28,2003-04-20,2003-07-30,2005-06-17,2013-06-24,2001-02-28,2004-06-19,2006-07-20,2014-08-01,2004-11-10,2006-05-15,2002-11-07,2000-05-05,2007-06-18,2011-10-09,2011-06-14,2015-06-27,2008-03-10,2010-12-14,2000-12-05,2006-06-19,2007-07-31,2011-05-02,2002-03-21,2008-09-02,2003-08-06,2009-09-26,2008-12-12,2011-03-16,2004-03-08,2015-06-12,2003-04-03,2006-02-06,2008-07-05,2012-05-29,2001-03-22,2005-05-13,2003-04-04,2010-09-02,2009-06-03,2004-05-13,2004-05-24,2011-08-06,2003-06-12,2006-06-21,2016-05-16,2006-06-28,2007-09-05,2005-03-03,2006-04-12,2007-10-18,2002-03-25,2005-12-26,2009-02-11,2006-04-03,2005-06-15,2008-08-08,2016-05-09,2013-07-30,2001-03-02,2006-03-20,2014-12-17,2009-03-26,2009-02-27,2005-06-29,2014-11-26,2009-04-14,2001-03-28,2012-03-14,2014-12-11,2014-08-08,2011-04-10,2011-03-21,2007-01-08,2011-09-29,2001-03-31,2005-03-02,2005-02-16,2009-06-12,2002-04-18,2006-04-21,2002-06-14,2016-04-11,2011-05-25,2013-05-20,2013-04-22,2004-04-26,2007-05-18}
@attribute year numeric
@attribute frequency_sum numeric
@attribute pos_prop numeric
@attribute neg_prop numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,2334,2006-05-10,2006,186,0.080645,0.145161,cluster4
1,2262,2005-08-03,2005,277,0.101083,0.00722,cluster2
2,2409,2008-03-14,2008,3862,0.038322,0.131797,cluster4
3,2356,2006-02-20,2006,179,0.106145,0.027933,cluster2
4,2408,2008-03-19,2008,259,0.111969,0.042471,cluster2
5,2598,2016-02-05,2016,472,0.137712,0.095339,cluster0
6,2319,2006-08-12,2006,116,0.051724,0.224138,cluster4
7,2395,2008-05-08,2008,148,0.074324,0.006757,cluster2
8,2415,2009-12-18,2009,508,0.088583,0.03937,cluster2
9,2194,2002-04-11,2002,179,0.072626,0.128492,cluster4
10,2263,2005-07-27,2005,396,0.012626,0.116162,cluster4
11,2265,2005-07-18,2005,211,0.180095,0.061611,cluster0
12,2306,2006-11-24,2006,314,0.232484,0.06051,cluster5
13,2562,2015-06-28,2015,493,0.087221,0.083164,cluster3
14,2182,2001-03-01,2001,314,0.156051,0.015924,cluster5
15,2311,2006-11-24,2006,977,0.141249,0.011259,cluster5
16,2342,2006-04-05,2006,237,0.033755,0.080169,cluster3
17,2344,2006-03-31,2006,260,0.1,0.023077,cluster2
18,2510,2012-03-08,2012,261,0.164751,0.030651,cluster5
19,2520,2013-09-16,2013,202,0.094059,0.074257,cluster3
20,2285,2005-04-14,2005,4942,0.101578,0.033792,cluster1
21,2561,2015-07-04,2015,436,0.059633,0.071101,cluster3
22,2447,2010-10-20,2010,893,0.18701,0.021277,cluster5
23,2576,2016-06-16,2016,388,0.103093,0.064433,cluster0
24,2423,2009-09-28,2009,47,0.021277,0,cluster2
25,2570,2015-06-09,2015,363,0.082645,0.121212,cluster4
26,2243,2004-05-11,2004,2101,0.166587,0.025702,cluster5
27,2442,2010-10-21,2010,579,0.164076,0.029361,cluster5
28,2247,2004-04-01,2004,2144,0.094216,0.072761,cluster0
29,2316,2006-10-12,2006,91,0.098901,0.010989,cluster2
30,2241,2004-05-12,2004,349,0.037249,0.148997,cluster4
31,2582,2016-06-08,2016,442,0.187783,0.040724,cluster5
32,2551,2014-03-01,2014,216,0.023148,0.111111,cluster4
33,2260,2005-11-09,2005,267,0.104869,0.033708,cluster2
34,2385,2008-12-03,2008,1236,0.080906,0.01699,cluster2
35,2405,2008-04-10,2008,157,0.057325,0.019108,cluster2
36,2354,2006-03-10,2006,169,0.047337,0.130178,cluster4
37,2203,2002-03-11,2002,77,0.038961,0.12987,cluster4
38,2432,2009-03-10,2009,122,0.057377,0.04918,cluster3
39,2188,2002-07-26,2002,117,0.128205,0.051282,cluster0
40,2189,2002-06-23,2002,164,0.036585,0.04878,cluster3
41,2445,2010-10-21,2010,208,0.096154,0.048077,cluster2
42,2439,2010-12-09,2010,179,0.111732,0,cluster2
43,2528,2013-04-23,2013,282,0.060284,0.148936,cluster4
44,2310,2006-11-24,2006,160,0.23125,0.0375,cluster5
45,2590,2016-03-19,2016,212,0.103774,0.070755,cluster0
46,2324,2006-06-20,2006,213,0.051643,0.061033,cluster3
47,2592,2016-03-15,2016,287,0.073171,0.191638,cluster4
48,2254,2004-03-02,2004,250,0.156,0.036,cluster5
49,2275,2005-05-25,2005,197,0.142132,0.025381,cluster5
50,2366,2007-12-01,2007,599,0.227045,0.008347,cluster5
51,2397,2008-04-23,2008,639,0.173709,0.054773,cluster0
52,2571,2015-05-28,2015,352,0.042614,0.130682,cluster4
53,2294,2005-02-18,2005,242,0.090909,0.07438,cluster3
54,2389,2008-07-15,2008,999,0.082082,0.071071,cluster3
55,2308,2006-11-24,2006,427,0.168618,0.039813,cluster5
56,2437,2009-02-10,2009,492,0.156504,0.014228,cluster5
57,2491,2012-07-29,2012,131,0.167939,0.053435,cluster0
58,2453,2010-06-04,2010,411,0.053528,0.072993,cluster3
59,2539,2014-09-18,2014,614,0.162866,0.029316,cluster5
60,2301,2005-01-12,2005,315,0.139683,0.034921,cluster0
61,2187,2002-08-20,2002,134,0.134328,0.052239,cluster0
62,2328,2006-05-19,2006,158,0.050633,0.044304,cluster3
63,2348,2006-03-15,2006,76,0.026316,0.144737,cluster4
64,2496,2012-06-03,2012,153,0.078431,0.052288,cluster3
65,2515,2012-01-29,2012,643,0.101089,0.11042,cluster3
66,2251,2004-03-20,2004,153,0.189542,0.03268,cluster5
67,2299,2005-01-28,2005,195,0.2,0.087179,cluster0
68,2399,2008-04-23,2008,258,0.174419,0.046512,cluster5
69,2470,2011-07-13,2011,1548,0.135013,0.028424,cluster0
70,2173,2001-05-05,2001,272,0.044118,0.125,cluster4
71,2485,2012-12-26,2012,729,0.11797,0.02332,cluster2
72,2200,2002-03-20,2002,97,0.051546,0.072165,cluster3
73,2414,2008-01-19,2008,148,0.114865,0,cluster2
74,2221,2003-04-05,2003,988,0.103239,0.092105,cluster3
75,2448,2010-09-27,2010,4317,0.107019,0.027565,cluster1
76,2280,2005-04-18,2005,91,0.043956,0.076923,cluster3
77,2586,2016-04-15,2016,3419,0.028078,0.101199,cluster4
78,2543,2014-07-16,2014,204,0.107843,0.112745,cluster3
79,2177,2001-03-30,2001,328,0.118902,0.082317,cluster0
80,2330,2006-05-11,2006,94,0.010638,0.010638,cluster2
81,2185,2002-12-19,2002,88,0.102273,0.022727,cluster2
82,2540,2014-08-26,2014,596,0.036913,0.09396,cluster3
83,2261,2005-09-02,2005,206,0.15534,0.053398,cluster0
84,2450,2010-08-25,2010,271,0.055351,0.092251,cluster3
85,2228,2003-03-18,2003,115,0.06087,0.043478,cluster2
86,2419,2009-12-04,2009,1191,0.120907,0.020151,cluster2
87,2500,2012-05-27,2012,243,0.078189,0.082305,cluster3
88,2176,2001-03-30,2001,502,0.135458,0.053785,cluster0
89,2206,2002-03-07,2002,280,0.025,0.117857,cluster4
90,2313,2006-11-24,2006,430,0.186047,0.046512,cluster5
91,2557,2015-09-19,2015,2128,0.108553,0.098684,cluster0
92,2422,2009-10-09,2009,278,0.104317,0.089928,cluster3
93,2314,2006-11-23,2006,249,0.208835,0.008032,cluster5
94,2574,2015-01-07,2015,359,0.10585,0.016713,cluster2
95,2427,2009-05-16,2009,78,0.076923,0,cluster2
96,2233,2004-06-04,2004,474,0.109705,0.067511,cluster0
97,2214,2003-06-28,2003,232,0.064655,0.090517,cluster3
98,2291,2005-02-25,2005,248,0.165323,0.024194,cluster5
99,2364,2007-12-14,2007,119,0.02521,0.109244,cluster4
100,2505,2012-05-25,2012,268,0.130597,0.108209,cluster0
101,2597,2016-03-13,2016,505,0.073267,0.122772,cluster4
102,2257,2005-12-09,2005,204,0.102941,0.102941,cluster3
103,2479,2011-04-11,2011,3139,0.041096,0.122969,cluster4
104,2593,2016-03-15,2016,301,0.126246,0.039867,cluster0
105,2579,2016-06-15,2016,257,0.163424,0.035019,cluster5
106,2219,2003-04-13,2003,68,0.029412,0.029412,cluster2
107,2229,2003-01-21,2003,84,0.059524,0.011905,cluster2
108,2550,2014-04-18,2014,377,0.061008,0.124668,cluster4
109,2503,2012-05-26,2012,3566,0.046831,0.120303,cluster4
110,2456,2010-03-13,2010,3427,0.037642,0.122264,cluster4
111,2284,2005-03-23,2005,279,0.121864,0.057348,cluster0
112,2518,2013-09-25,2013,357,0.184874,0.005602,cluster5
113,2255,2004-03-02,2004,3304,0.032688,0.127724,cluster4
114,2303,2006-11-25,2006,163,0.134969,0.01227,cluster2
115,2218,2003-04-16,2003,235,0.144681,0.025532,cluster5
116,2444,2010-10-21,2010,394,0.104061,0.010152,cluster2
117,2538,2014-09-18,2014,350,0.122857,0.022857,cluster2
118,2350,2006-03-12,2006,188,0.06383,0.06383,cluster3
119,2371,2007-09-18,2007,63,0.047619,0,cluster2
120,2452,2010-07-03,2010,116,0.112069,0,cluster2
121,2267,2005-07-13,2005,269,0.104089,0.074349,cluster0
122,2264,2005-07-27,2005,180,0.138889,0.044444,cluster0
123,2374,2007-06-21,2007,358,0.075419,0.047486,cluster2
124,2193,2002-04-17,2002,265,0.037736,0.124528,cluster4
125,2170,2000-06-13,2000,566,0.075972,0.102473,cluster3
126,2210,2003-12-12,2003,677,0.11226,0.031019,cluster2
127,2248,2004-03-31,2004,4306,0.109847,0.041338,cluster1
128,2499,2012-05-28,2012,313,0.105431,0.044728,cluster2
129,2220,2003-04-05,2003,226,0.044248,0.181416,cluster4
130,2589,2016-03-21,2016,365,0.057534,0.087671,cluster3
131,2512,2012-03-02,2012,239,0.050209,0.058577,cluster3
132,2555,2015-10-23,2015,401,0.21197,0.047382,cluster5
133,2559,2015-09-17,2015,261,0.168582,0.003831,cluster5
134,2205,2002-03-08,2002,94,0.010638,0.148936,cluster4
135,2300,2005-01-19,2005,177,0.096045,0.118644,cluster4
136,2302,2006-12-10,2006,59,0.067797,0.135593,cluster4
137,2282,2005-04-13,2005,298,0.130872,0.010067,cluster2
138,2509,2012-03-09,2012,1079,0.090825,0.107507,cluster3
139,2216,2003-05-12,2003,734,0.110354,0.132153,cluster4
140,2532,2014-12-25,2014,336,0.080357,0.104167,cluster3
141,2293,2005-02-21,2005,276,0.119565,0.021739,cluster2
142,2347,2006-03-17,2006,177,0.067797,0.011299,cluster2
143,2196,2002-04-07,2002,123,0.02439,0.073171,cluster3
144,2197,2002-04-03,2002,211,0.146919,0.075829,cluster0
145,2469,2011-07-15,2011,6820,0.093402,0.032551,cluster1
146,2400,2008-04-23,2008,264,0.109848,0.106061,cluster3
147,2474,2011-05-03,2011,472,0.120763,0.067797,cluster0
148,2492,2012-06-13,2012,1163,0.137575,0.00258,cluster5
149,2345,2006-03-27,2006,265,0.150943,0.071698,cluster0
150,2195,2002-04-11,2002,117,0.068376,0.136752,cluster4
151,2455,2011-12-31,2011,166,0.114458,0,cluster2
152,2482,2011-03-03,2011,231,0.025974,0.047619,cluster3
153,2556,2015-09-20,2015,325,0.141538,0.058462,cluster0
154,2534,2014-12-24,2014,569,0.108963,0.026362,cluster2
155,2289,2005-03-04,2005,3693,0.036285,0.136474,cluster4
156,2304,2006-11-24,2006,244,0.229508,0,cluster5
157,2392,2008-06-04,2008,250,0.088,0.108,cluster3
158,2213,2003-07-09,2003,597,0.077052,0.040201,cluster2
159,2252,2004-03-15,2004,2384,0.130034,0.032299,cluster0
160,2250,2004-03-24,2004,142,0.035211,0.077465,cluster3
161,2420,2009-11-04,2009,2415,0.163975,0.045963,cluster0
162,2351,2006-03-11,2006,90,0.1,0.1,cluster3
